A;102;20040202 11:46;PTHIRLWELL;
B;102;3046819;70;20040202 11:47;;;;STABLES PL;MOSS VALE;2577;1580;M;20020823;20031209;117645;A;V;VACANT LAND;;EA;;0;AA309168;
C;102;3046819;70;20040202 11:47;42//1061253;
D;102;3046819;70;20040202 11:47;P;;;;;;
D;102;3046819;70;20040202 11:47;P;;;;;;
D;102;3046819;70;20040202 11:47;V;;;;;;
D;102;3046819;70;20040202 11:47;V;;;;;;
B;102;3046861;71;20040202 11:47;;;;BUMBALLA RD;WINGELLO;2579;5316;M;20031201;20031219;175000;Z;V;VACANT LAND;;QC;;0;AA342960;
C;102;3046861;71;20040202 11:47;2//1062030;
D;102;3046861;71;20040202 11:47;P;;;;;;
D;102;3046861;71;20040202 11:47;P;;;;;;
D;102;3046861;71;20040202 11:47;V;;;;;;
B;102;3050244;72;20040202 11:47;HORDERN PARK;;;KOKODA PL;BOWRAL;2576;800;M;20020728;20031212;192000;;V;VACANT LAND;;;;0;AA343686;
C;102;3050244;72;20040202 11:47;67//1062100;
D;102;3050244;72;20040202 11:47;P;;;;;;
D;102;3050244;72;20040202 11:47;P;;;;;;
D;102;3050244;72;20040202 11:47;P;;;;;;
D;102;3050244;72;20040202 11:47;V;;;;;;
B;102;3050245;73;20040202 11:47;;;;KOKODA PL;BOWRAL;2576;1011;M;20021010;20031222;192000;;V;VACANT LAND;;;;0;AA317148;
C;102;3050245;73;20040202 11:47;68//1062100;
D;102;3050245;73;20040202 11:47;P;;;;;;
D;102;3050245;73;20040202 11:47;P;;;;;;
