A;003;20040116 12:19;PDANN;
C;003;58731;66;20040116 12:19;44//SP 61665;
D;003;58731;66;20040116 12:19;P;;;;;;
D;003;58731;66;20040116 12:19;V;;;;;;
D;003;58731;66;20040116 12:19;V;;;;;;
B;003;58969;67;20040116 12:19;;;3;KATEENA AVE;TASCOTT;2250;720.8;M;20031103;20031217;390000;A;R;RESIDENCE;;GN;;0;AA287665;
C;003;58969;67;20040116 12:19;54//241945;
D;003;58969;67;20040116 12:19;P;;;;;;
D;003;58969;67;20040116 12:19;V;;;;;;
D;003;58969;67;20040116 12:19;V;;;;;;
B;003;59357;68;20040116 12:19;;;22;KILLARA ST;KINCUMBER;2251;564.8;M;20031110;20031205;300000;A;R;RESIDENCE;;FK;;0;AA276208;
C;003;59357;68;20040116 12:19;1//869654;
D;003;59357;68;20040116 12:19;P;;;;;;
D;003;59357;68;20040116 12:19;P;;;;;;
D;003;59357;68;20040116 12:19;V;;;;;;
B;003;59560;69;20040116 12:19;;;134;KINCUMBER CRES;DAVISTOWN;2251;392;M;20031008;20031114;486000;A;R;RESIDENCE;;GL;;0;AA306682;
C;003;59560;69;20040116 12:19;1/1/12702;
D;003;59560;69;20040116 12:19;P;;;;;;
D;003;59560;69;20040116 12:19;V;;;;;;
D;003;59560;69;20040116 12:19;V;;;;;;
B;003;59743;70;20040116 12:19;;;19;KINGFISHER CL;KINCUMBER;2251;658.2;M;20031024;20031217;500500;A;R;RESIDENCE;;FK;;0;AA280577;
C;003;59743;70;20040116 12:19;26//867972;
D;003;59743;70;20040116 12:19;P;;;;;;
D;003;59743;70;20040116 12:19;P;;;;;;
D;003;59743;70;20040116 12:19;V;;;;;;
D;003;59743;70;20040116 12:19;V;;;;;;
B;003;60081;71;20040116 12:19;;16;15;KOOLANG RD;GREEN POINT;2251;;;20031120;20031212;309000;;R;RESIDENCE;16;;;0;AA293892;
C;003;60081;71;20040116 12:19;16//SP 37558;
D;003;60081;71;20040116 12:19;P;;;;;;
D;003;60081;71;20040116 12:19;V;;;;;;
D;003;60081;71;20040116 12:19;V;;;;;;
D;003;60081;71;20040116 12:19;V;;;;;;
D;003;60081;71;20040116 12:19;V;;;;;;
B;003;60189;72;20040116 12:19;;;11;KOOLKUNA CL;KINCUMBER;2251;872.6;M;20031027;20031219;435000;A;R;RESIDENCE;;FK;;0;AA295156;
C;003;60189;72;20040116 12:19;47//240878;
D;003;60189;72;20040116 12:19;P;;;;;;
D;003;60189;72;20040116 12:19;V;;;;;;
D;003;60189;72;20040116 12:19;V;;;;;;
B;003;60774;73;20040116 12:19;;;52;LADERA DR;COPACABANA;2251;663.9;M;20031107;20031209;597000;A;R;RESIDENCE;;GD;;0;AA315408;
C;003;60774;73;20040116 12:19;145//238133;
D;003;60774;73;20040116 12:19;P;;;;;;
D;003;60774;73;20040116 12:19;P;;;;;;
D;003;60774;73;20040116 12:19;V;;;;;;
D;003;60774;73;20040116 12:19;V;;;;;;
